time,price
0,6000
1,5900
2,5970
3,5890
4,5770
5,5720
6,5640
7,5670
8,5710
9,5690
10,5780
11,5860
12,5890
13,5780
14,5720
15,5710
16,5630
17,5540
18,5460
19,5410
20,5320
21,5370
22,5270
23,5350
24,5330
25,5260
26,5160
27,5200
28,5290
29,5230
30,5190
31,5210
32,5260
33,5270
34,5260
35,5290
36,5210
37,5180
38,5260
39,5270
40,5270
41,5330
42,5280
43,5240
44,5140
45,5220
46,5210
47,5270
48,5310
49,5290
50,5270
51,5320
52,5230
53,5300
54,5320
55,5350
56,5280
57,5260
58,5270
59,5180
60,5080
61,5110
62,5080
63,4990
64,5030
65,5030
66,5040
67,5020
68,4960
69,4920
70,4890
71,4900
72,4870
73,4870
74,4820
75,4920
76,4990
77,4940
78,4920
79,5000
80,5070
81,5000
82,4970
83,5010
84,5080
85,5060
86,5070
87,4970
88,4890
89,4960
90,4920
91,4830
92,4820
93,4770
94,4710
95,4770
96,4740
97,4660
98,4710
99,4750
100,4840
