time,price
0,4000
1,4010
2,4070
3,4060
4,4030
5,4040
6,4060
7,4060
8,4020
9,4020
10,4030
11,4040
12,4020
13,4090
14,4050
15,4120
16,4100
17,4150
18,4210
19,4200
20,4200
21,4200
22,4280
23,4290
24,4280
25,4350
26,4320
27,4280
28,4240
29,4310
30,4260
31,4330
32,4400
33,4440
34,4430
35,4360
36,4410
37,4420
38,4380
39,4460
40,4410
41,4410
42,4450
43,4510
44,4520
45,4490
46,4490
47,4520
48,4480
49,4560
50,4610
51,4640
52,4640
53,4640
54,4630
55,4540
56,4480
57,4490
58,4490
59,4450
60,4520
61,4560
62,4640
63,4700
64,4620
65,4580
66,4620
67,4680
68,4620
69,4570
70,4540
71,4540
72,4560
73,4540
74,4620
75,4560
76,4560
77,4540
78,4460
79,4390
80,4430
81,4450
82,4490
83,4480
84,4440
85,4350
86,4420
87,4470
88,4480
89,4500
90,4470
91,4410
92,4390
93,4460
94,4500
95,4520
96,4430
97,4390
98,4380
99,4420
100,4480
